SEM,6460
XRD,5160
DSC,2474
TEM,1907
Raman,1492
FTIR,1318
X-ray diffraction,1136
EDS,983
EDX,709
DTA,705
AFM,704
XPS,688
PL,579
TGA,496
TL,477
HRTEM,466
FT-IR,453
SAED,424
FESEM,340
IR,317
Absorption,309
BSE,278
TG,249
WAXD,247
Emission spectra,243
emission spectra,206
Optical absorption,202
SAXS,196
1H NMR,177
Optical micrographs,165
FE - SEM,159
POM,152
DTG,148
Cyclic voltammograms,141
EBSD,138
Scanning electron micrographs,136
Stress - strain curves,127
SAD,116
Avrami plots,116
Excitation spectra,115
WAXS,114
Arrhenius plot,113
EPR,112
Transmission,110
Photoluminescence,110
Scanning electron microscopy,108
31P MAS NMR,108
RPL,107
tensile test,104
CV,101
